group,index,con1,con2,sentence,maze,Question,Correct
0,p1,practice,practice,This is a practice sentence so that you can get the feel of reading while making some button presses.,x-x-x our is missiles receipts boy back have nice old got hasn had presume marry affair wanna chased leukemia.,Select F for No and J for Yes: was this a practice sentence?,y
0,p2,practice,practice,Remember that when you are reading these sentences it is important to read quickly and it's also important to comprehend what you read.,x-x-x good gotta just our envelope haven eradicate her see champagne see pills shipment were fungi sees champagne did worshipped enrol get bride.,Should you read slowly?,n
0,p3,practice,practice,We are recording your reading time for each word but we are not recording your response time for each question.,x-x-x away prescribe gonna deserve fuck good gotta knees guy her away sir innocence think explodes wanna good threw murdered.,Are we recording your reading time for each word?,y
0,p4,practice,practice,The brilliant scientist sold her house after her boyfriend's proposal.,x-x-x recognise regretted ammo else seemed forget ago facilitates circulate.,Did the scientist propose?,n
0,p5,practice,practice,According to many authors ending stories was the easiest part of the endeavor.,x-x-x me weren shortest risked commence lot get partake rings him can coincides.,Did many authors find it difficult to end stories?,n
0,p6,practice,practice,Burger King managers discovered that training employees was easier when they follow a few simple guidelines.,x-x-x pity pertinent resemblance want apologise forgiving see cherish wanna guess supper is sake anybody persecuted.,Did following guidelines make training new employees easier?,y
0,p7,practice,practice,For many small businesses running companies was a matter of hiring professional outside management.,x-x-x buddy behave suppressing asshole presiding fine if asshole did teased granddaughter forgive melancholy.,Did many small businesses employ outside management?,y
0,p8,practice,practice,At many banks today lending money is less lucrative than it was ten years ago.,x-x-x hurts versa marry condone lovely me fries actresses gotta my sir wrap loved sexy.,Is lending money as lucrative as it was ten years ago?,n
0,p9,practice,practice,Within two weeks the police charged the husband for running a red light.,x-x-x huh forgot can kissed mortals here shouldn talk reminds do huh tricks.,Did the police charge the husband?,y
0,p10,practice,practice,After ten years the warden enrolled the prisoner into a halfway house.,x-x-x dope admit have implies propagate get reminded gotta if implies bucks.,Did someone enroll the prisoner?,y